# Source: Abdelhadi,Ladani, 2012, J.Alloys.Comp., Vol. 537, pp.87-99, http://www.sciencedirect.com/science/article/pii/S0925838812007323
#Temperature(K)     k_prcpt(m/s) = k_dissolution (m/s) (reversible)
   500.000000       6.42652776E-06
   501.000000       6.48032801E-06
   502.000000       6.53412781E-06
   503.000000       6.58792806E-06
   504.000000       6.64172785E-06
   505.000000       6.69552810E-06
   506.000000       6.74932789E-06
   507.000000       6.80312769E-06
   508.000000       6.85692794E-06
   509.000000       6.91072819E-06
   510.000000       6.96452798E-06
   511.000000       7.01832778E-06
   512.000000       7.07212803E-06
   513.000000       7.12592828E-06
   514.000000       7.17972807E-06
   515.000000       7.23352787E-06
   516.000000       7.28732812E-06
   517.000000       7.34112791E-06
   518.000000       7.39492816E-06
   519.000000       7.44872796E-06
   520.000000       7.50252821E-06
   521.000000       7.55632800E-06
   522.000000       7.61012825E-06
   523.000000       7.66392805E-06
   524.000000       7.71772829E-06
   525.000000       7.77152854E-06
   526.000000       7.82532788E-06
   527.000000       7.87912813E-06
   528.000000       7.93292838E-06
   529.000000       7.98672863E-06
   530.000000       8.04052797E-06
   531.000000       8.09432822E-06
   532.000000       8.14812847E-06
   533.000000       8.20192781E-06
   534.000000       8.25572806E-06
   535.000000       8.30952831E-06
   536.000000       8.36332856E-06
   537.000000       8.41712790E-06
   538.000000       8.47092815E-06
   539.000000       8.52472840E-06
   540.000000       8.57852865E-06
   541.000000       8.63232799E-06
   542.000000       8.68612824E-06
   543.000000       8.73992849E-06
   544.000000       8.79372874E-06
   545.000000       8.84752808E-06
   546.000000       8.90132833E-06
   547.000000       8.95512858E-06
   548.000000       9.00892883E-06
   549.000000       9.06272817E-06
   550.000000       9.11652842E-06
   551.000000       9.17032867E-06
   552.000000       9.22412801E-06
   553.000000       9.27792826E-06
   554.000000       9.33172851E-06
   555.000000       9.38552876E-06
   556.000000       9.43932901E-06
   557.000000       9.49312835E-06
   558.000000       9.54692860E-06
   559.000000       9.60072884E-06
   560.000000       9.65452818E-06
   561.000000       9.70832843E-06
   562.000000       9.76212868E-06
   563.000000       9.81592893E-06
   564.000000       9.86972827E-06
   565.000000       9.92352852E-06
   566.000000       9.97732877E-06
   567.000000       1.00311290E-05
   568.000000       1.00849284E-05
   569.000000       1.01387286E-05
   570.000000       1.01925289E-05
   571.000000       1.02463291E-05
   572.000000       1.03001285E-05
   573.000000       1.03539287E-05
   574.000000       1.04077290E-05
   575.000000       1.04615283E-05
   576.000000       1.05153285E-05
   577.000000       1.05691288E-05
   578.000000       1.06229290E-05
   579.000000       1.06767293E-05
   580.000000       1.07305286E-05
   581.000000       1.07843289E-05
   582.000000       1.08381291E-05
   583.000000       1.08919285E-05
   584.000000       1.09509983E-05
   585.000000       1.10109986E-05
   586.000000       1.10709989E-05
   587.000000       1.11309992E-05
   588.000000       1.11909985E-05
   589.000000       1.12509988E-05
   590.000000       1.13109991E-05
   591.000000       1.13709984E-05
   592.000000       1.14309987E-05
   593.000000       1.14909990E-05
   594.000000       1.15509993E-05
   595.000000       1.16109986E-05
   596.000000       1.16709989E-05
   597.000000       1.17309992E-05
   598.000000       1.17909985E-05
   599.000000       1.18509988E-05
   600.000000       1.19109991E-05
   601.000000       1.19709985E-05
   602.000000       1.20309987E-05
   603.000000       1.20909990E-05
   604.000000       1.21509984E-05
   605.000000       1.22109986E-05
   606.000000       1.22709989E-05
   607.000000       1.23309992E-05
   608.000000       1.23909986E-05
   609.000000       1.24509988E-05
   610.000000       1.25109991E-05
   611.000000       1.25709994E-05
   612.000000       1.26309988E-05
   613.000000       1.26909990E-05
   614.000000       1.27509993E-05
   615.000000       1.28109987E-05
   616.000000       1.28709989E-05
   617.000000       1.29309992E-05
   618.000000       1.29909986E-05
   619.000000       1.30509989E-05
   620.000000       1.31109991E-05
   621.000000       1.31709985E-05
   622.000000       1.32309988E-05
   623.000000       1.32909990E-05
   624.000000       1.33509984E-05
   625.000000       1.34109987E-05
   626.000000       1.34709990E-05
   627.000000       1.35309992E-05
   628.000000       1.35909995E-05
   629.000000       1.36509989E-05
   630.000000       1.37109992E-05
   631.000000       1.37709994E-05
   632.000000       1.38309988E-05
   633.000000       1.38909991E-05
   634.000000       1.39509993E-05
   635.000000       1.40109987E-05
   636.000000       1.40709990E-05
   637.000000       1.41309993E-05
   638.000000       1.41909986E-05
   639.000000       1.42509989E-05
   640.000000       1.43109992E-05
   641.000000       1.43709985E-05
   642.000000       1.44309988E-05
   643.000000       1.44909991E-05
   644.000000       1.45509994E-05
   645.000000       1.46109996E-05
   646.000000       1.46709990E-05
   647.000000       1.47309993E-05
   648.000000       1.47909996E-05
   649.000000       1.48509989E-05
   650.000000       1.49109992E-05
   651.000000       1.49709995E-05
   652.000000       1.50309988E-05
   653.000000       1.50909991E-05
   654.000000       1.51509994E-05
   655.000000       1.52109988E-05
   656.000000       1.52709981E-05
   657.000000       1.53309993E-05
   658.000000       1.53909987E-05
   659.000000       1.54509980E-05
   660.000000       1.55109992E-05
   661.000000       1.55709986E-05
   662.000000       1.56309998E-05
   663.000000       1.56909991E-05
   664.000000       1.57509985E-05
   665.000000       1.58109997E-05
   666.000000       1.58709991E-05
   667.000000       1.59310002E-05
   668.000000       1.59909996E-05
   669.000000       1.60509990E-05
   670.000000       1.61110001E-05
   671.000000       1.61709995E-05
   672.000000       1.62309989E-05
   673.000000       1.62910001E-05
   674.000000       1.63509994E-05
   675.000000       1.64109988E-05
   676.000000       1.64710000E-05
   677.000000       1.65309993E-05
   678.000000       1.65909987E-05
   679.000000       1.66509999E-05
   680.000000       1.67109993E-05
   681.000000       1.67709986E-05
   682.000000       1.68309998E-05
   683.000000       1.68909992E-05
   684.000000       1.69509985E-05
   685.000000       1.70109997E-05
   686.000000       1.70709991E-05
   687.000000       1.71309985E-05
   688.000000       1.71909996E-05
   689.000000       1.72509990E-05
   690.000000       1.73109984E-05
   691.000000       1.73709996E-05
   692.000000       1.74309989E-05
   693.000000       1.74909983E-05
   694.000000       1.75509995E-05
   695.000000       1.76109988E-05
   696.000000       1.76709982E-05
   697.000000       1.77309994E-05
   698.000000       1.77909988E-05
   699.000000       1.78509999E-05
   700.000000       1.79109993E-05
   701.000000       1.79710005E-05
   702.000000       1.80309999E-05
   703.000000       1.80909992E-05

